channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore
nptelhrd,atfNaIY9WbQ,UC640y4UvDAlya_WOj5U4pfA,Lec-3 C Programming-II,190502,378,9,48,2833,0.29586
nptelhrd,3QiItmIWmOM,UC640y4UvDAlya_WOj5U4pfA,Lec-2 C Programming-I,416133,830,52,94,2098,0.26584
nptelhrd,T6jHXD78dBI,UC640y4UvDAlya_WOj5U4pfA,Mod-1 Lec-1 Complex Integration,99338,227,13,22,3215,0.14394
nptelhrd,6nguX-cEsvw,UC640y4UvDAlya_WOj5U4pfA,Mod-1 Lec-1 Fundamentals Of Engineering Mechanics,183126,300,34,38,3527,-0.03988
nptelhrd,IcJOkRZPNMI,UC640y4UvDAlya_WOj5U4pfA,"Lec-16 Pipe Friction, Major Loss, Minor Loss",77638,324,15,28,3223,0.43018
nptelhrd,HpoilOJ1Ahc,UC640y4UvDAlya_WOj5U4pfA,Lec-12 Steam Turbine-Impulse,123683,377,18,30,3235,0.30554
nptelhrd,LUZrZJJ7zNQ,UC640y4UvDAlya_WOj5U4pfA,"Lec-6 Property of Pure Substance, Steam Table",163768,961,42,64,3185,0.10112
nptelhrd,4-BI22Wx4Pc,UC640y4UvDAlya_WOj5U4pfA,Lec-20 Vapors Power Cycle-I,192013,869,36,62,3609,0.28036
nptelhrd,o9ueYSKj9og,UC640y4UvDAlya_WOj5U4pfA,Lec-19 Properties of Ideal Gases,67529,173,11,14,3558,0.05544
nptelhrd,pJM9Fh9Fp-I,UC640y4UvDAlya_WOj5U4pfA,Lec-16 Properties of Pure Substances-I,158267,514,23,30,3605,0.35766
nptelhrd,bvqyQB9_N8M,UC640y4UvDAlya_WOj5U4pfA,Lec-11 Second Law and Available Energy-II,110742,346,18,47,3607,0.08668
nptelhrd,5q_MMdGINgQ,UC640y4UvDAlya_WOj5U4pfA,Lec-7 Second Law and Its Corollaries-II,136188,402,22,25,3604,0.33906
nptelhrd,bTgeUXbFiaE,UC640y4UvDAlya_WOj5U4pfA,Lec-8 Second Law and Its Corollaries-III,123424,397,11,42,3607,0.31938
nptelhrd,bCToK4_dmbU,UC640y4UvDAlya_WOj5U4pfA,Lec-5 First Low-III,136859,341,24,74,3623,0.01638
nptelhrd,lvy8h-yWhRQ,UC640y4UvDAlya_WOj5U4pfA,Lec-6 Second Law and Its Corollaries-I,187936,612,32,76,3605,0.34574
nptelhrd,6dFnpz_AEyA,UC640y4UvDAlya_WOj5U4pfA,Lecture 1 - Digital Signal Processing Introduction,600886,1581,77,131,1526,-0.04122
nptelhrd,xQwi9fveGTQ,UC640y4UvDAlya_WOj5U4pfA,Lec-2 Zeroth Law and Fundamental Concepts,343525,1182,60,68,2392,0.3037
nptelhrd,9GMBpZZtjXM,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction and Fundamental Concepts,1147456,4234,184,276,3602,0.2054
nptelhrd,H58TPQNr2kM,UC640y4UvDAlya_WOj5U4pfA,Lec-34 Critical Path Method,313746,838,29,97,3476,0.28984
nptelhrd,2aPlzhsEsIw,UC640y4UvDAlya_WOj5U4pfA,Lec-31 Single Server Queueing Models,204627,913,28,83,3416,0.23028
nptelhrd,h0bdo06qNVw,UC640y4UvDAlya_WOj5U4pfA,Lec-33 Game Theory,305136,1021,49,87,3516,0.36842
nptelhrd,PavZX3hAL6I,UC640y4UvDAlya_WOj5U4pfA,Lec-32 Multiple Server Queueing Models,119949,376,16,39,3373,0.3379
nptelhrd,A1wsIFDKqBk,UC640y4UvDAlya_WOj5U4pfA,Lec-29 Vehicle Routeing Problem,96151,463,11,44,3548,0.29308
nptelhrd,xGkpXk-AnWU,UC640y4UvDAlya_WOj5U4pfA,Lec-30 Queueing Models,454651,2672,89,212,3512,0.4791
nptelhrd,LjvdXKsvUpU,UC640y4UvDAlya_WOj5U4pfA,Lec-26 Heuristics for TSP,66418,255,9,16,3488,0.50378
nptelhrd,UtSrgTsKUfU,UC640y4UvDAlya_WOj5U4pfA,Lec-23 Minimum Cost Flow Problem,100249,363,11,37,3512,0.20388
nptelhrd,wVu5qN0E4ww,UC640y4UvDAlya_WOj5U4pfA,Lec-20 Shortest Path Problem,203854,415,20,39,3484,0.25062
nptelhrd,Dmw3OsyT5yw,UC640y4UvDAlya_WOj5U4pfA,Lec-19 Network Models,230754,881,17,71,3496,-0.1029
nptelhrd,F8qiM3o0Jc0,UC640y4UvDAlya_WOj5U4pfA,Lecture - 11 The Graph Theory Approach for Electrical Circuits(Part-I),237421,1244,84,42,3463,0.0024
nptelhrd,mtRR-5fzKo8,UC640y4UvDAlya_WOj5U4pfA,Mod-1 Lec-1 Introduction to Design of Steel Structures,392665,1096,62,78,3672,0.12218
nptelhrd,Ru3FhYbjcFs,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction,64608,147,5,18,2602,-0.03346
nptelhrd,TH9nd-KdVHs,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction to Digital Computer Organization,108369,198,6,19,2870,0.31704
nptelhrd,LRkqW3QraBA,UC640y4UvDAlya_WOj5U4pfA,Lec-15 Transportation Problem-Other Issues,106222,245,8,35,3701,-0.03406
